Editor	Edit_count	Most_recent
68.72.216.25	1	2009-09-28T18:58:49Z
Xbcj0843hck3	1	2009-05-08T12:22:45Z
207.181.245.73	1	2009-04-12T22:23:23Z
81.206.5.140	1	2009-02-01T09:38:57Z
Ground Zero	1	2009-04-21T03:44:31Z
BogBot	1	2009-10-19T21:50:32Z
Emw	2	2009-04-29T15:22:04Z
151.112.109.50	1	2009-08-27T18:15:00Z
D'ohBot	1	2009-12-20T15:08:41Z
155.253.6.254	1	2009-04-29T15:19:20Z
Genypholy	1	2009-12-02T14:28:02Z
Dancojocari	1	2009-12-19T05:04:23Z
Shcha	1	2009-07-27T07:19:20Z
69.225.252.137	5	2009-05-09T13:27:43Z
Yeast2Hybrid	8	2009-07-23T16:59:27Z
207.250.168.69	4	2009-01-20T19:28:43Z
159.92.69.126	1	2009-04-16T14:44:05Z
Bruce1ee	1	2009-10-15T08:33:03Z
Piskacek	7	2009-11-21T21:13:34Z
72.61.5.221	3	2009-09-08T00:48:51Z
67.190.37.209	1	2009-02-15T04:32:47Z
Banus	1	2009-01-25T21:19:20Z
Jorgeq13	2	2009-03-01T16:32:31Z
174.51.126.117	1	2009-12-15T04:11:19Z
Timemutt	1	2009-11-16T20:07:46Z
206.81.166.225	1	2009-10-25T19:05:45Z
Ivan ?tambuk	1	2009-05-22T08:13:43Z
Maurice Carbonaro	2	2009-11-04T12:32:34Z
192.12.88.4	2	2009-06-26T04:41:27Z
71.87.186.64	1	2009-01-25T21:15:23Z
Ph.eyes	1	2009-06-18T07:02:56Z
Jatlas	1	2009-08-07T21:52:11Z
212.20.74.230	1	2009-05-28T15:27:14Z
LesterFreamon00	1	2009-09-02T08:32:00Z
193.132.159.169	1	2009-08-28T12:12:57Z
Mikael HŠggstršm	3	2009-04-08T11:40:37Z
131.249.80.212	2	2009-01-09T22:19:56Z
86.129.231.247	1	2009-07-08T22:00:20Z
Boghog	17	2009-11-22T08:05:16Z
84.226.20.10	1	2009-10-21T20:00:38Z
165.68.213.41	1	2009-09-03T17:28:12Z
207.180.139.114	1	2009-12-10T19:50:47Z
Rich Farmbrough	1	2009-05-17T17:21:22Z
209.222.206.49	1	2009-03-13T17:32:57Z
ProteinBoxBot	3	2009-07-29T08:55:00Z
129.138.44.218	2	2009-12-15T22:33:54Z
129.138.44.219	1	2009-12-15T22:29:03Z
128.100.134.205	3	2009-04-09T20:27:07Z
Citation bot	4	2009-05-15T04:55:20Z
RjwilmsiBot	4	2009-12-23T00:54:40Z
